 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
 26 -0.1 +1.0 -0.9 +0.0 +0.1 +0.0 +0.2 +1.0 +0.8 -1.0 +1.0 -0.0 -0.8 +1.0 +0.2 +1.0 -1.0 +0.0 +0.1 +0.1 +0.0 +0.0 +0.1 -0.1 
 27 +0.0 -1.0 +1.0 +0.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 28 +0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 29 +0.1 -1.0 +0.9 +0.0 -0.1 +0.0 -0.2 -1.0 -0.8 +1.0 -1.0 -0.0 +0.8 -1.0 -0.2 -1.0 +1.0 +0.0 -0.1 -0.1 +0.0 +0.0 -0.1 +0.1 
 30 +0.1 -1.0 +0.9 +0.0 +0.1 +0.0 -0.0 -1.0 -1.0 +0.8 -1.0 -0.2 +1.0 -1.0 -0.0 -0.8 +1.0 +0.2 +0.1 +0.1 +0.0 +0.0 +0.1 -0.1 
 31 +0.1 +0.9 -1.0 +0.0 +0.0 -0.1 -0.0 +1.0 +1.0 -1.0 +0.8 -0.2 -1.0 +0.8 -0.2 +1.0 -1.0 +0.0 -0.1 +0.1 -0.1 +0.1 +0.0 +0.0 
 32 +0.1 +0.9 -1.0 +0.0 +0.0 +0.1 -0.2 +0.8 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -0.8 +0.2 +0.1 -0.1 +0.1 -0.1 +0.0 +0.0 
 33 +0.2 -1.0 +0.8 +0.0 -0.2 +0.0 -0.4 -1.0 -0.6 +1.0 -1.0 -0.0 +0.6 -1.0 -0.4 -1.0 +1.0 +0.0 -0.2 -0.2 +0.0 +0.0 -0.2 +0.2 
 34 +0.2 -1.0 +0.8 +0.0 +0.2 +0.0 -0.0 -1.0 -1.0 +0.6 -1.0 -0.4 +1.0 -1.0 -0.0 -0.6 +1.0 +0.4 +0.2 +0.2 +0.0 +0.0 +0.2 -0.2 
 35 +0.2 +0.8 -1.0 +0.0 +0.0 -0.2 -0.0 +1.0 +1.0 -1.0 +0.6 -0.4 -1.0 +0.6 -0.4 +1.0 -1.0 +0.0 -0.2 +0.2 -0.2 +0.2 +0.0 +0.0 
 36 +0.2 +0.8 -1.0 +0.0 +0.0 +0.2 -0.4 +0.6 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -0.6 +0.4 +0.2 -0.2 +0.2 -0.2 +0.0 +0.0 
 37 +0.8 -1.0 +0.2 +0.0 -0.2 +0.0 -1.0 -1.0 -0.0 +0.4 -1.0 -0.6 +0.0 -1.0 -1.0 -0.4 +1.0 +0.6 -0.2 -0.2 +0.0 +0.0 -0.2 +0.2 
 38 +0.8 -1.0 +0.2 +0.0 +0.2 +0.0 -0.6 -1.0 -0.4 +0.0 -1.0 -1.0 +0.4 -1.0 -0.6 -0.0 +1.0 +1.0 +0.2 +0.2 +0.0 +0.0 +0.2 -0.2 
 39 +0.8 +0.2 -1.0 +0.0 +0.0 -0.2 -0.6 +0.4 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.4 +0.6 -0.2 +0.2 -0.2 +0.2 +0.0 +0.0 
 40 +0.8 +0.2 -1.0 +0.0 +0.0 +0.2 -1.0 +0.0 +1.0 -1.0 +0.4 -0.6 -1.0 +0.4 -0.6 +1.0 -0.0 +1.0 +0.2 -0.2 +0.2 -0.2 +0.0 +0.0 
 41 +0.9 -1.0 +0.1 +0.0 -0.1 +0.0 -1.0 -1.0 -0.0 +0.2 -1.0 -0.8 +0.0 -1.0 -1.0 -0.2 +1.0 +0.8 -0.1 -0.1 +0.0 +0.0 -0.1 +0.1 
 42 +0.9 -1.0 +0.1 +0.0 +0.1 +0.0 -0.8 -1.0 -0.2 +0.0 -1.0 -1.0 +0.2 -1.0 -0.8 -0.0 +1.0 +1.0 +0.1 +0.1 +0.0 +0.0 +0.1 -0.1 
 43 +0.9 +0.1 -1.0 +0.0 +0.0 -0.1 -0.8 +0.2 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.2 +0.8 -0.1 +0.1 -0.1 +0.1 +0.0 +0.0 
 44 +0.9 +0.1 -1.0 +0.0 +0.0 +0.1 -1.0 +0.0 +1.0 -1.0 +0.2 -0.8 -1.0 +0.2 -0.8 +1.0 -0.0 +1.0 +0.1 -0.1 +0.1 -0.1 +0.0 +0.0 
 45 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 46 +1.0 -0.9 -0.1 -0.1 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 -0.2 -0.8 -1.0 +0.2 +0.8 +1.0 +0.0 +0.0 -0.1 -0.1 -0.1 -0.1 
 47 +1.0 -0.9 -0.1 +0.1 +0.0 +0.0 -1.0 -0.8 +0.2 -0.2 -0.8 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.1 +0.1 +0.1 +0.1 
 48 +1.0 -0.8 -0.2 -0.2 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 -0.4 -0.6 -1.0 +0.4 +0.6 +1.0 +0.0 +0.0 -0.2 -0.2 -0.2 -0.2 
 49 +1.0 -0.8 -0.2 +0.2 +0.0 +0.0 -1.0 -0.6 +0.4 -0.4 -0.6 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.2 +0.2 +0.2 +0.2 
 50 +1.0 -0.2 -0.8 -0.2 +0.0 +0.0 -1.0 -0.4 +0.6 -0.6 -0.4 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 -0.2 -0.2 -0.2 -0.2 
 51 +1.0 -0.2 -0.8 +0.2 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -0.6 -0.4 -1.0 +0.6 +0.4 +1.0 +0.0 +0.0 +0.2 +0.2 +0.2 +0.2 
 52 +1.0 -0.1 -0.9 -0.1 +0.0 +0.0 -1.0 -0.2 +0.8 -0.8 -0.2 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 -0.1 -0.1 -0.1 -0.1 
 53 +1.0 -0.1 -0.9 +0.1 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -0.8 -0.2 -1.0 +0.8 +0.2 +1.0 +0.0 +0.0 +0.1 +0.1 +0.1 +0.1 
 54 +1.0 +0.0 -1.0 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
