 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +6.0 -1.0 +0.8 2.000000e-01 -0.2 +0.0 +0.0 +1.0 +0.6 -0.4 +0.4 +0.6  1 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 -2.000000e-01 -0.2 -0.2 -0.2  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +7.0 -1.0 +0.8 2.000000e-01 +0.2 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0  1 +0.4 +0.6 +1.0 -0.4 -0.6 -1.0 +0.0 +0.0 2.000000e-01 +0.2 +0.2 +0.2  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +8.0 -1.0 +0.9 1.000000e-01 -0.1 +0.0 +0.0 +1.0 +0.8 -0.2 +0.2 +0.8  1 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 -1.000000e-01 -0.1 -0.1 -0.1  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +9.0 -1.0 +0.9 1.000000e-01 +0.1 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0  1 +0.2 +0.8 +1.0 -0.2 -0.8 -1.0 +0.0 +0.0 1.000000e-01 +0.1 +0.1 +0.1  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +10.0 -1.0 +1.0  0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0  1 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0  0 +0.0 +0.0 +0.0 32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +52.0 +1.0 -0.1 -9.000000e-01 -0.1 +0.0 +0.0 -1.0 -0.2 +0.8 -0.8 -0.2 -1 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 -1.000000e-01 -0.1 -0.1 -0.1  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +53.0 +1.0 -0.1 -9.000000e-01 +0.1 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1 -0.8 -0.2 -1.0 +0.8 +0.2 +1.0 +0.0 +0.0 1.000000e-01 +0.1 +0.1 +0.1  37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 102 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 37 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 51 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 49 +102.0 +32.0 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 32 +37.0 +43.0 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 43 +51.0 +46.0 +49.0 +102.0 +32.0 +37.0 +43.0 +51.0 46 +49.0 +102.0 +32.0 +92.0 +110.0 +54.0 +1.0 +0.0 -1 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0  0 +0.0 +0.0 +0.0  No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  3 +0.0 -1.0 +1.0 +0.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  4 +0.0 +0.0 +0.0 -1.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -1.0 -1.0 -1.0 -1.0 
  5 +0.0 +0.0 +0.0 -0.5 -0.5 -0.5 -0.0 +0.0 -0.0 +1.0 -1.0 -0.0 -1.0 +0.0 -1.0 -0.0 -1.0 -1.0 -1.0 +0.0 -1.0 +0.0 -1.0 +0.0 
  6 +0.0 +0.0 +0.0 -0.5 -0.5 +0.5 -1.0 -1.0 -0.0 +1.0 +0.0 +1.0 -1.0 +1.0 -0.0 -0.0 -0.0 +0.0 +0.0 -1.0 +0.0 -1.0 -1.0 +0.0 
  7 +0.0 +0.0 +0.0 -0.5 +0.5 -0.5 +1.0 +0.0 -1.0 +0.0 -1.0 -1.0 +0.0 +0.0 -0.0 +1.0 -1.0 +0.0 +0.0 +1.0 -1.0 +0.0 +0.0 -1.0 
  8 +0.0 +0.0 +0.0 -0.5 +0.5 +0.5 -0.0 -1.0 -1.0 +0.0 +0.0 -0.0 +0.0 +1.0 +1.0 +1.0 -0.0 +1.0 +1.0 +0.0 +0.0 -1.0 +0.0 -1.0 
  9 +0.0 +0.0 +0.0 +0.0 -1.0 +0.0 -1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 -0.0 -1.0 -1.0 -1.0 +0.0 +0.0 -1.0 +1.0 
